StrokeNumber,Time,Distance,Speed,StrokeRate,DistancePerStroke,StrokeDuration,SpeedChange,RollingSpeed,RollingDistancePerStroke,RollingStrokeRate,SpeedConsistency,TimeGap,IsRowing,SessionSegment,SessionPhase,SpeedDecline,DistancePerStrokeDecline,StrokeRateChange,FatigueSignal,FatigueConfirmed,FatigueSeverity,SpeedScore,DistancePerStrokeScore,RhythmScore,ConsistencyScore,StrokeScore
62,180.9,612.8,3.37,20.5,9.7,2.926829268292683,-0.040000000000000036,3.4130000000000003,10.139999999999999,20.4,0.038887301554907466,2.8000000000000114,True,1,Rowing segment,-0.010361160449970439,-0.025278058645095875,0.007299270072992805,False,False,0.0,100.0,100.0,96.3503649635036,100.0,99.5
63,183.9,623.2,3.35,20.5,10.4,2.926829268292683,-0.020000000000000018,3.41,10.24,20.4,0.04268749491621996,3.0,True,1,Rowing segment,-0.009473060982830085,-0.03538928210313444,0.007299270072992805,False,False,0.0,100.0,100.0,96.3503649635036,100.0,99.5
64,186.9,633.5,3.35,20.5,10.3,2.926829268292683,0.0,3.407,10.29,20.45,0.04595891885393197,3.0,True,1,Rowing segment,-0.008584961515689733,-0.04044489383215354,0.004866180048661869,False,False,0.0,100.0,100.0,97.56690997566906,100.0,99.6
65,189.7,643.1,3.34,20.5,9.6,2.926829268292683,-0.010000000000000231,3.403,10.26,20.4,0.050122073203552796,2.799999999999983,True,1,Rowing segment,-0.007400828892835971,-0.037411526794742085,0.007299270072992805,False,False,0.0,100.0,100.0,96.3503649635036,99.26541437533542,99.3
66,192.7,653.4,3.35,20.5,10.3,2.926829268292683,0.010000000000000231,3.399,10.280000000000001,20.4,0.052799410771123774,3.0,True,1,Rowing segment,-0.00621669626998221,-0.039433771486349904,0.007299270072992805,False,False,0.0,100.0,100.0,96.3503649635036,96.55535863768824,98.9
67,195.7,663.7,3.39,21.0,10.3,2.857142857142857,0.040000000000000036,3.3939999999999997,10.27,20.5,0.05081557066709284,3.0,True,1,Rowing segment,-0.0047365304914149114,-0.038422649140545904,0.0024330900243309346,False,False,0.0,100.0,100.0,98.78345498783453,98.56344208656813,99.6
68,198.5,673.5,3.41,20.0,9.8,3.0,0.020000000000000018,3.3880000000000003,10.16,20.5,0.043919117578669224,2.8000000000000114,True,1,Rowing segment,-0.002960331557134467,-0.027300303336703698,0.0024330900243309346,False,False,0.0,100.0,100.0,98.78345498783453,100.0,99.8
69,201.5,683.9,3.42,21.0,10.4,2.857142857142857,0.009999999999999787,3.383,10.180000000000001,20.55,0.03560586718193873,3.0,True,1,Rowing segment,-0.0014801657785671679,-0.029322548028311517,0.0,False,False,0.0,100.0,100.0,100.0,100.0,100.0
70,204.3,693.3,3.42,21.0,9.4,2.857142857142857,0.0,3.3810000000000002,10.070000000000002,20.55,0.03247221034122144,2.8000000000000114,True,1,Rowing segment,-0.0008880994671403534,-0.01820020222446931,0.0,False,False,0.0,100.0,100.0,100.0,100.0,100.0
71,207.1,702.5,3.38,21.0,9.1,2.857142857142857,-0.040000000000000036,3.378,9.930000000000001,20.65,0.030840089349922318,2.799999999999983,True,1,Rowing segment,0.0,-0.004044489383215462,0.0048661800486616965,False,False,0.0,99.99999999999997,100.0,97.56690997566915,100.0,99.6
72,210.1,712.3,3.34,20.5,9.9,2.926829268292683,-0.040000000000000036,3.375,9.95,20.65,0.03308238873546655,3.0,True,1,Rowing segment,0.0008880994671403534,-0.006066734074822924,0.0048661800486616965,False,False,0.0,99.55595026642982,100.0,97.56690997566915,100.0,99.5
73,213.0,721.9,3.36,20.0,9.5,3.0,0.020000000000000018,3.376,9.86,20.6,0.03238655413731091,2.9000000000000057,True,1,Rowing segment,0.000592066311426946,0.0030333670374116414,0.0024330900243309346,False,False,0.0,99.7039668442865,98.48331648129417,98.78345498783453,100.0,99.2
74,215.9,731.8,3.36,20.0,10.0,3.0,0.0,3.3770000000000002,9.830000000000002,20.55,0.031640339933559414,2.9000000000000057,True,1,Rowing segment,0.0002960331557134073,0.006066734074822924,0.0,False,False,0.0,99.85198342214329,96.9666329625885,100.0,100.0,98.9
75,218.9,741.7,3.33,20.5,9.8,2.926829268292683,-0.029999999999999805,3.376,9.850000000000001,20.55,0.0330655913803672,3.0,True,1,Rowing segment,0.000592066311426946,0.0040444893832152825,0.0,False,False,0.0,99.7039668442865,97.97775530839232,100.0,100.0,99.2
76,221.9,751.3,3.28,21.0,9.7,2.857142857142857,-0.050000000000000266,3.3689999999999998,9.790000000000001,20.6,0.044584501542328056,3.0,True,1,Rowing segment,0.00266429840142106,0.010111223458038386,0.0024330900243309346,False,False,0.0,98.66785079928947,94.94438827098077,98.78345498783453,100.0,97.6
77,224.7,760.6,3.26,20.0,9.3,3.0,-0.020000000000000018,3.3560000000000003,9.690000000000001,20.5,0.05541760650832157,2.799999999999983,True,1,Rowing segment,0.006512729425695618,0.02022244691607677,0.0024330900243309346,False,False,0.0,96.74363528715219,89.88877654196159,98.78345498783453,93.90516746799061,94.2
78,227.7,770.4,3.28,20.0,9.8,3.0,0.020000000000000018,3.343,9.690000000000001,20.5,0.0565783625700774,3.0,True,1,Rowing segment,0.010361160449970439,0.02022244691607677,0.0024330900243309346,False,False,0.0,94.81941977501474,89.88877654196159,98.78345498783453,92.73022648808866,93.4
79,230.7,779.9,3.25,20.5,9.5,2.926829268292683,-0.029999999999999805,3.3259999999999996,9.6,20.45,0.05641118880348307,3.0,True,1,Rowing segment,0.015393724097099019,0.029322548028311517,0.004866180048661869,False,False,0.0,92.30313795145045,85.33872598584423,97.56690997566906,92.89944318710735,90.7
80,233.7,789.1,3.15,20.5,9.2,2.926829268292683,-0.10000000000000009,3.2989999999999995,9.58,20.4,0.06951418720104673,3.0,True,1,Rowing segment,0.023386619301361936,0.031344792719919155,0.007299270072992805,False,False,0.0,88.30669034931897,84.32760364004037,96.3503649635036,79.6363207412083,86.8
81,236.7,798.6,3.12,20.5,9.5,2.926829268292683,-0.029999999999999805,3.2729999999999997,9.620000000000001,20.35,0.08313977521152027,3.0,True,1,Rowing segment,0.031083481349911315,0.027300303336703698,0.009732360097323567,False,False,0.0,84.4582593250443,86.3498483316481,95.13381995133821,65.84422242164453,83.9
82,239.5,807.8,3.18,21.0,9.2,2.857142857142857,0.06000000000000005,3.257,9.55,20.4,0.08420213774008278,2.8000000000000114,True,1,Rowing segment,0.03582001184132623,0.03437815975733062,0.007299270072992805,False,False,0.0,82.08999407933686,82.81092012133466,96.3503649635036,64.76887738452085,81.9
83,242.3,817.0,3.22,21.0,9.2,2.857142857142857,0.040000000000000036,3.243,9.52,20.5,0.07645623294117627,2.8000000000000114,True,1,Rowing segment,0.039964476021314456,0.037411526794742266,0.0024330900243309346,False,False,0.0,80.01776198934273,81.29423660262884,98.78345498783453,72.609440336988,82.2
84,245.3,826.4,3.22,20.0,9.4,3.0,0.0,3.229,9.459999999999999,20.5,0.06454111523327899,3.0,True,1,Rowing segment,0.04410894020130255,0.04347826086956537,0.0024330900243309346,False,False,0.0,77.94552989934871,78.26086956521728,98.78345498783453,84.67016570092652,82.2
85,248.1,835.3,3.19,21.5,8.9,2.7906976744186047,-0.03000000000000025,3.215,9.37,20.6,0.054619898693911526,2.799999999999983,True,1,Rowing segment,0.048253404381290776,0.05257836198179993,0.0024330900243309346,False,False,0.0,75.87329780935458,73.71081900910004,98.78345498783453,94.71262360112563,81.4
86,250.9,844.1,3.18,20.5,8.8,2.926829268292683,-0.009999999999999787,3.2049999999999996,9.280000000000001,20.55,0.05038738819276804,2.8000000000000114,True,1,Rowing segment,0.051213735938425244,0.06167846309403432,0.0,False,False,0.0,74.39313203078734,69.1607684529828,100.0,98.99685712745021,80.1
