StrokeNumber,Time,Distance,Speed,StrokeRate,DistancePerStroke,StrokeDuration,SpeedChange,RollingSpeed,RollingDistancePerStroke,RollingStrokeRate,SpeedConsistency,TimeGap,IsRowing,SessionSegment,SessionPhase,SpeedDecline,DistancePerStrokeDecline,StrokeRateChange,FatigueSignal,FatigueConfirmed,FatigueSeverity,SpeedScore,DistancePerStrokeScore,RhythmScore,ConsistencyScore,StrokeScore
25,64.7,199.4,3.39,24.5,8.2,2.4489795918367347,-0.040000000000000036,3.322,8.6,23.45,0.08066391179868913,2.4000000000000057,True,1,Rowing segment,0.0044950554390169855,0.039106145251396614,0.037610619469026454,False,False,0.0,97.75247228049149,80.44692737430164,81.19469026548678,64.5284303317364,84.2
26,67.3,208.0,3.35,23.0,8.6,2.608695652173913,-0.040000000000000036,3.325,8.58,23.45,0.08113774296425408,2.5999999999999943,True,1,Rowing segment,0.0035960443512135353,0.04134078212290494,0.037610619469026454,False,False,0.0,98.20197782439323,79.32960893854751,81.19469026548678,64.02635830751258,83.9
27,69.9,216.7,3.31,23.0,8.7,2.608695652173913,-0.040000000000000036,3.3270000000000004,8.59,23.4,0.08042249547096761,2.6000000000000085,True,1,Rowing segment,0.0029967036260111907,0.040223463687150775,0.03539823008849545,False,False,0.0,98.50164818699436,79.88826815642457,82.30088495575228,64.78423533813633,84.5
28,72.4,225.0,3.34,23.0,8.3,2.608695652173913,0.029999999999999805,3.336,8.56,23.4,0.07574812062208401,2.5,True,1,Rowing segment,0.00029967036260110575,0.04357541899441328,0.03539823008849545,False,False,0.0,99.85016481869941,78.21229050279332,82.30088495575228,69.73720806959795,85.1
29,75.3,234.2,3.4,23.5,9.3,2.5531914893617023,0.06000000000000005,3.3519999999999994,8.65,23.4,0.06988880056521525,2.8999999999999915,True,1,Rowing segment,-0.0044950554390169855,0.03351955307262558,0.03539823008849545,False,False,0.0,100.0,83.24022346368719,82.30088495575228,75.94575004682265,87.9
30,77.7,243.0,3.4,22.5,8.8,2.6666666666666665,0.0,3.37,8.73,23.3,0.053333333333332955,2.4000000000000057,True,1,Rowing segment,-0.009889121965837688,0.024581005586592052,0.030973451327433597,False,False,0.0,100.0,87.70949720670396,84.5132743362832,93.48794133593242,92.4
31,80.5,252.3,3.32,21.5,9.3,2.7906976744186047,-0.08000000000000007,3.375,8.790000000000001,23.2,0.044534630719624074,2.799999999999997,True,1,Rowing segment,-0.01138747377884335,0.017877094972066857,0.026548672566371584,False,False,0.0,100.0,91.06145251396651,86.72566371681421,100.0,94.9
32,83.1,261.0,3.25,23.0,8.7,2.608695652173913,-0.06999999999999984,3.3630000000000004,8.77,23.2,0.059637795622127426,2.5999999999999943,True,1,Rowing segment,-0.007791429427629814,0.020111731843575387,0.026548672566371584,False,False,0.0,100.0,89.94413407821227,86.72566371681421,86.80772616012446,92.5
33,85.7,269.8,3.28,23.0,8.7,2.608695652173913,0.029999999999999805,3.347,8.75,23.05,0.05812821078348185,2.6000000000000085,True,1,Rowing segment,-0.002996703626011457,0.02234636871508372,0.01991150442477873,False,False,0.0,100.0,88.82681564245809,90.04424778761063,88.4072839156231,92.9
34,88.3,278.6,3.34,22.0,8.9,2.727272727272727,0.06000000000000005,3.3379999999999996,8.75,22.9,0.05028805910838982,2.5999999999999943,True,1,Rowing segment,-0.00029967036260110575,0.02234636871508372,0.013274336283185714,False,False,0.0,100.0,88.82681564245809,93.36283185840715,96.71471725433544,94.6
35,91.3,288.6,3.35,21.0,10.0,2.857142857142857,0.010000000000000231,3.3339999999999996,8.930000000000001,22.55,0.04718756898449731,3.0,True,1,Rowing segment,0.0008990110878034504,0.002234636871508134,0.0022123893805310046,False,False,0.0,99.55049445609825,98.8826815642459,98.89380530973449,100.0,99.3
36,94.1,297.9,3.32,21.0,9.3,2.857142857142857,-0.03000000000000025,3.3310000000000004,9.0,22.35,0.04701063709417297,2.799999999999997,True,1,Rowing segment,0.0017980221756066345,-0.00558659217877103,0.011061946902654867,False,False,0.0,99.10098891219664,100.0,94.46902654867256,100.0,98.9
37,96.5,306.1,3.32,23.5,8.2,2.5531914893617023,0.0,3.332,8.95,22.4,0.04661902329879256,2.4000000000000057,True,1,Rowing segment,0.001498351813005662,0.0,0.008849557522124019,False,False,0.0,99.25082409349716,99.99999999999997,95.57522123893798,100.0,99.1
38,99.3,314.7,3.33,23.5,8.6,2.5531914893617023,0.010000000000000231,3.3310000000000004,8.98,22.45,0.04653553003411036,2.799999999999997,True,1,Rowing segment,0.0017980221756066345,-0.0033519553072626973,0.006637168141593014,False,False,0.0,99.10098891219664,100.0,96.6814159292035,100.0,99.2
39,101.7,323.7,3.4,23.5,9.0,2.5531914893617023,0.06999999999999984,3.3310000000000004,8.95,22.45,0.04653553003411036,2.4000000000000057,True,1,Rowing segment,0.0017980221756066345,0.0,0.006637168141593014,False,False,0.0,99.10098891219664,99.99999999999997,96.6814159292035,100.0,99.2
40,104.3,332.8,3.45,23.0,9.1,2.608695652173913,0.050000000000000266,3.336,8.98,22.5,0.05641118880348346,2.5999999999999943,True,1,Rowing segment,0.00029967036260110575,-0.0033519553072626973,0.004424778761062009,False,False,0.0,99.85016481869941,100.0,97.78761061946899,90.2266422942699,98.1
